source,target,weight
Gold,Silver,0.7811446164643514
Gold,Platinum,0.5589064257381161
Silver,Platinum,0.6352341961658319
Platinum,Copper,0.40305701754855094
Brent_Oil,WTI_Oil,0.476657313088333
SP500,NASDAQ,0.9463438753226233
SP500,Dow_Jones,0.9545385453052609
SP500,DAX,0.5724824481950289
SP500,FTSE100,0.5396547378504203
SP500,VIX,-0.716975483362134
NASDAQ,Dow_Jones,0.8376718113700053
NASDAQ,DAX,0.513504018434606
NASDAQ,FTSE100,0.4459377094765293
NASDAQ,VIX,-0.6984199400441878
Dow_Jones,DAX,0.584204617236687
Dow_Jones,FTSE100,0.5740171416505243
Dow_Jones,VIX,-0.6754387481659362
DAX,FTSE100,0.8230579712866835
DAX,VIX,-0.44680694671891913
DAX,MOEX_Russia,0.41497966353660676
FTSE100,VIX,-0.40704308147296603
FTSE100,MOEX_Russia,0.43686978885447536
BIST100,BIST30,0.9917947850123787
BIST100,BIST_Banks,0.8324129005696209
BIST100,BIST_Industrials,0.9203506128332567
BIST100,THYAO,0.7113503946672906
BIST100,GARAN,0.7319558754813664
BIST100,AKBNK,0.7715682271817541
BIST100,ISCTR,0.7537665642031937
BIST100,KCHOL,0.759157287267838
BIST100,SAHOL,0.7881346876211202
BIST100,TUPRS,0.6211212255779701
BIST100,ASELS,0.608338551901247
BIST100,BIMAS,0.5089469343663187
BIST30,BIST_Banks,0.8488154109013104
BIST30,BIST_Industrials,0.8920329972103852
BIST30,THYAO,0.7121243729720353
BIST30,GARAN,0.7473021105659984
BIST30,AKBNK,0.7891332950023499
BIST30,ISCTR,0.7665358345130452
BIST30,KCHOL,0.7706799348384784
BIST30,SAHOL,0.7999281771886505
BIST30,TUPRS,0.6331254578240797
BIST30,ASELS,0.5975029097710066
BIST30,BIMAS,0.5207028752330004
BIST_Banks,BIST_Industrials,0.6286143151818435
BIST_Banks,THYAO,0.5288886538454877
BIST_Banks,GARAN,0.9186686393262429
BIST_Banks,AKBNK,0.942901333531293
BIST_Banks,ISCTR,0.9027828685572513
BIST_Banks,KCHOL,0.6488906142351919
BIST_Banks,SAHOL,0.728734360057466
BIST_Banks,TUPRS,0.41657779847560056
BIST_Banks,ASELS,0.4530903079968019
BIST_Industrials,THYAO,0.6338090559414535
BIST_Industrials,GARAN,0.5266849564422639
BIST_Industrials,AKBNK,0.5666310682193052
BIST_Industrials,ISCTR,0.576982195894
BIST_Industrials,KCHOL,0.6690824459752711
BIST_Industrials,SAHOL,0.6496737554656
BIST_Industrials,TUPRS,0.6720894762759133
BIST_Industrials,ASELS,0.5771478992537087
BIST_Industrials,BIMAS,0.4288974237124327
THYAO,GARAN,0.47745231622474044
THYAO,AKBNK,0.49362408085755216
THYAO,ISCTR,0.48132005245641724
THYAO,KCHOL,0.5231190066085954
THYAO,SAHOL,0.5347123865419451
THYAO,TUPRS,0.449707599321665
THYAO,ASELS,0.48134393008428883
GARAN,AKBNK,0.8655090498500866
GARAN,ISCTR,0.7947277326032673
GARAN,KCHOL,0.5797819296983634
GARAN,SAHOL,0.658397419828477
AKBNK,ISCTR,0.8216633268325425
AKBNK,KCHOL,0.6201444757974081
AKBNK,SAHOL,0.7122205896929139
AKBNK,ASELS,0.41439950363605016
ISCTR,KCHOL,0.6110161914188584
ISCTR,SAHOL,0.6659688747516488
ISCTR,ASELS,0.41803768657728824
KCHOL,SAHOL,0.7108958134685368
KCHOL,TUPRS,0.5368721245593366
KCHOL,ASELS,0.4338879864660915
KCHOL,BIMAS,0.40540460923229793
SAHOL,TUPRS,0.484092228427373
SAHOL,ASELS,0.43960769167581976
SAHOL,BIMAS,0.4033301757571749
USD_TRY,EUR_TRY,0.8994746954337696
USD_TRY,GBP_TRY,0.8766435721720901
USD_TRY,SAR_TRY,0.9502394429460004
EUR_TRY,GBP_TRY,0.9108049297277102
EUR_TRY,SAR_TRY,0.8637251450307168
GBP_TRY,SAR_TRY,0.8378760983908724
