,Gold,Silver,Platinum,Copper,Brent_Oil,WTI_Oil,Natural_Gas,SP500,NASDAQ,Dow_Jones,DAX,FTSE100,Nikkei225,BIST100,BIST30,BIST_Banks,BIST_Industrials,THYAO,GARAN,AKBNK,ISCTR,KCHOL,SAHOL,TUPRS,ASELS,BIMAS,USD_TRY,EUR_TRY,Bitcoin,VIX,US_10Y_Bond,Dollar_Index,CSI300,MOEX_Russia,GBP_TRY,SAR_TRY,RUB_TRY
Gold,1.0,0.7811446164643514,0.5589064257381161,0.23025455608622172,0.09252640484299944,0.038678705537326406,0.005391157771135432,0.018898997775367247,0.027921928523536563,0.003906467594811541,-0.0555265612187893,-0.030179460936285808,-0.02367826800014905,0.040336557423654516,0.04727887256960434,0.051306078650095684,0.03369795216279044,-0.041733966122738636,0.040699950079430856,0.05511485489325069,0.029665637184326847,0.018096680317703926,0.03843343543103338,0.025161917623174344,0.02770085702594257,0.03130840098852709,-0.030955159435312223,-0.007325926746968207,0.08134182324109544,0.05174655560163285,-0.2720336619050203,-0.39213058243291343,0.09044922521662818,0.034337959985264406,-0.015389379420714366,-0.027788425629231554,0.023100139654429714
Silver,0.7811446164643514,1.0,0.6352341961658319,0.3713216545705431,0.17199951682256143,0.06841224662470272,0.018382411994008915,0.14202946451825854,0.14528706814758682,0.12802991100605837,0.11829889225744546,0.13096763429697447,0.09385111577908914,0.12366893111923548,0.12471599350710716,0.09925870098041803,0.12880650405227131,0.019561011238468748,0.0840442593997141,0.09695114996511074,0.0710643841224627,0.08009904335655421,0.09866933298434517,0.09362374719374271,0.09827338433760048,0.07530335329917807,-0.04497410582631742,-0.029854902969519072,0.10870651470434456,-0.07060778226937235,-0.1283117586469315,-0.35396248366803124,0.12363805967594563,0.1265421779773371,-0.0207496942553517,-0.04799476993718068,-0.002172514349907783
Platinum,0.5589064257381161,0.6352341961658319,1.0,0.40305701754855094,0.21269361135296944,0.0855452768291766,0.043818943238338626,0.2487484395612511,0.2230894157101436,0.2547332643525553,0.24600378391693328,0.2713478803599876,0.1468589447158237,0.15070739990417267,0.15221977953225377,0.13494330010472405,0.1476863673376367,0.0706161437565834,0.11489574306527453,0.12412275620936067,0.1150007298513431,0.1168599178084682,0.14691963469995772,0.09732185627853192,0.10852914767072469,0.074036563636698,-0.06628131445884568,-0.04597175767056105,0.11591217284774011,-0.16697366870714897,-0.02326084651944998,-0.35302779029634224,0.1743727421975966,0.19472786657912788,-0.03733922332732774,-0.062743215408968,-0.018779386472815237
Copper,0.23025455608622172,0.3713216545705431,0.40305701754855094,1.0,0.2723434750101675,0.129796912557627,0.040236360131447386,0.2441027939282,0.2196040926384975,0.24693081839929626,0.2678603333686603,0.30705929918698777,0.15773333434517176,0.1438994899653703,0.14565044500483273,0.128384694312674,0.14192907321585455,0.08160702529736244,0.1174203316990921,0.1183889076478935,0.10607932872648596,0.10441402490602121,0.11303852567387856,0.11098586912635096,0.11078684778304332,0.04604573443032661,-0.03300802648912366,-0.009202842502984305,0.10320248559196342,-0.2001276755921303,0.09769002072516482,-0.2738203025919636,0.24143650213988307,0.20423089400440206,-0.01090456648658737,-0.03146806618180909,-0.00461111530201755
Brent_Oil,0.09252640484299944,0.17199951682256143,0.21269361135296944,0.2723434750101675,1.0,0.476657313088333,0.08128100294319555,0.258635458352736,0.19794143067870187,0.2736222779920032,0.21055945822391323,0.2953426308909637,0.11279707255558638,0.09184828796659605,0.09388708579067152,0.06341891093111986,0.10816884167671276,0.01322276119085089,0.05179793286103121,0.0431504432307842,0.060878379713489215,0.07907018819080458,0.08544899854665472,0.13292215917531405,0.04789164114201873,0.041397495873836086,-0.008014739354897568,-0.018064669967639523,0.0487154405600635,-0.20268818464087085,0.1963640043867725,-0.06486038576182733,0.09928944346938026,0.22109425327142215,-0.0063079799352885125,-0.006392036909491985,-0.0469874714028843
WTI_Oil,0.038678705537326406,0.06841224662470272,0.0855452768291766,0.129796912557627,0.476657313088333,1.0,0.004592945410510147,0.13966479907842544,0.10534557126977091,0.1540782709754592,0.08737279042610085,0.11773171935361575,0.0591568270467188,0.028754626368125494,0.03373817590178876,0.02685043467453561,0.023003296906595014,-0.006018167460666629,0.024957807744328188,0.019902394541071556,0.02362415889320821,0.03656648537227735,0.04248744538111798,0.058718458429482756,0.013132140351962718,0.004667161648550773,-0.00021121362001463815,-0.005600409983636888,0.03235325189218988,-0.10255840070109633,0.10407674789638877,-0.035913694007784984,0.10725389851251611,0.10242931880472014,-0.0023226016540679115,-0.0076136222565174345,-0.01473677880661393
Natural_Gas,0.005391157771135432,0.018382411994008915,0.043818943238338626,0.040236360131447386,0.08128100294319555,0.004592945410510147,1.0,0.06809574037967278,0.04669311921131765,0.062250182584940875,0.055007789115913586,0.05469700251325253,0.005913900289392541,0.044371390009070484,0.04656496445429054,0.04343628676915078,0.040109834661168194,0.033804371795659226,0.03891614772629412,0.03643284817094216,0.02542066030625974,0.042762829444459256,0.052248992243407504,0.040578789870270505,0.03859525291672968,0.04394006280861937,0.0017645929792004314,0.012897327433752227,0.0033313003087169293,-0.04118466762963109,0.031592570483364876,-0.026067626869975383,0.041454067102297085,0.09989135192240994,0.00636636293531483,0.004506451971268101,-0.011870016615315358
SP500,0.018898997775367247,0.14202946451825854,0.2487484395612511,0.2441027939282,0.258635458352736,0.13966479907842544,0.06809574037967278,1.0,0.9463438753226233,0.9545385453052609,0.5724824481950289,0.5396547378504203,0.21513521388544088,0.2524877992045406,0.24874144702049297,0.21113633262457668,0.2358378172419645,0.199334962326101,0.18193776745157914,0.18470968730696363,0.17749449840753095,0.20498292302399904,0.2148380487693718,0.14972646508138546,0.13014017506472103,0.12050661295754422,-0.02928816923492556,-0.019838898257610253,0.2145828468567697,-0.716975483362134,0.2868056672160906,-0.09418670345086669,0.0644880626582593,0.28333272658694664,-0.019518603779352297,-0.025957558539110075,-0.01842962245999988
NASDAQ,0.027921928523536563,0.14528706814758682,0.2230894157101436,0.2196040926384975,0.19794143067870187,0.10534557126977091,0.04669311921131765,0.9463438753226233,1.0,0.8376718113700053,0.513504018434606,0.4459377094765293,0.18600535317392514,0.20958588316558574,0.20630498188541185,0.17101318541884647,0.19570938957806674,0.16323126824154427,0.1437914332668166,0.14874950526832967,0.14242758797827193,0.16332802579981665,0.17861046829757543,0.11518459096230882,0.10424642931620079,0.11527355077600576,-0.018757919031982484,-0.00945159701301179,0.23380002773193706,-0.6984199400441878,0.20939363652664006,-0.08842506444022805,0.0870968112605555,0.24305554409563618,-0.012900972473073563,-0.015945792685027854,-0.011293045067516093
Dow_Jones,0.003906467594811541,0.12802991100605837,0.2547332643525553,0.24693081839929626,0.2736222779920032,0.1540782709754592,0.062250182584940875,0.9545385453052609,0.8376718113700053,1.0,0.584204617236687,0.5740171416505243,0.22232477069362308,0.2668700246795982,0.26198817572391603,0.2205729822377404,0.25341523381848435,0.21196992119437028,0.19033736142931582,0.1939422298103988,0.18661126881289142,0.22097391557674406,0.228801919311163,0.16180766310592007,0.14335275449961019,0.11800814315013175,-0.03902390348332599,-0.02853103613346757,0.19347720299680315,-0.6754387481659362,0.32445041607843433,-0.0745420977108525,0.0225200736455172,0.299007770912685,-0.029790180290902635,-0.03590115487905497,-0.023113560017290084
