,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,Clustering_Coefficient
Gold,0.05555555555555555,0.0,0.0625,2.3609320028278072e-11,1.0
Silver,0.05555555555555555,0.0,0.0625,2.3609320028278072e-11,1.0
Platinum,0.08333333333333333,0.0031746031746031746,0.08333333333333333,2.762494698818498e-11,0.3333333333333333
Copper,0.027777777777777776,0.0,0.049999999999999996,1.272988363838045e-11,0.0
Brent_Oil,0.027777777777777776,0.0,0.027777777777777776,5.841372447607261e-15,0.0
WTI_Oil,0.027777777777777776,0.0,0.027777777777777776,5.841372447607261e-15,0.0
Natural_Gas,0.0,0.0,0.0,2.2283067503384632e-20,0.0
SP500,0.1388888888888889,0.0,0.14285714285714285,3.4347529927196285e-06,1.0
NASDAQ,0.1388888888888889,0.0,0.14285714285714285,3.4347529927196285e-06,1.0
Dow_Jones,0.1388888888888889,0.0,0.14285714285714285,3.4347529927196285e-06,1.0
DAX,0.16666666666666666,0.007936507936507936,0.16666666666666666,3.6675432442419713e-06,0.7333333333333333
FTSE100,0.16666666666666666,0.0007936507936507937,0.16666666666666666,3.6675432442419713e-06,0.7333333333333333
Nikkei225,0.0,0.0,0.0,2.2283067503384632e-20,0.0
BIST100,0.3333333333333333,0.0,0.3333333333333333,0.30862189078159613,0.8181818181818182
BIST30,0.3333333333333333,0.0,0.3333333333333333,0.30862189078159613,0.8181818181818182
BIST_Banks,0.3055555555555555,0.0015873015873015873,0.3076923076923077,0.2958727851175941,0.9090909090909091
BIST_Industrials,0.3333333333333333,0.004761904761904762,0.3333333333333333,0.30862189078159613,0.8181818181818182
THYAO,0.3055555555555555,0.006349206349206349,0.3076923076923077,0.2958727851175941,0.9090909090909091
GARAN,0.25,0.0,0.26666666666666666,0.2559990926562341,1.0
AKBNK,0.2777777777777778,0.0,0.2857142857142857,0.2782347023418092,0.9777777777777777
ISCTR,0.2777777777777778,0.0,0.2857142857142857,0.2782347023418092,0.9777777777777777
KCHOL,0.3333333333333333,0.004761904761904762,0.3333333333333333,0.30862189078159613,0.8181818181818182
SAHOL,0.3333333333333333,0.0015873015873015873,0.3333333333333333,0.30862189078159613,0.8181818181818182
TUPRS,0.19444444444444442,0.0,0.23529411764705882,0.2030676581684004,1.0
ASELS,0.25,0.0031746031746031746,0.26666666666666666,0.2559990926562341,1.0
BIMAS,0.1388888888888889,0.0,0.21052631578947367,0.14678075071087507,1.0
USD_TRY,0.08333333333333333,0.0,0.08333333333333333,1.5312807389055578e-09,1.0
EUR_TRY,0.08333333333333333,0.0,0.08333333333333333,1.5312807389055578e-09,1.0
Bitcoin,0.0,0.0,0.0,2.2283067503384632e-20,0.0
VIX,0.1388888888888889,0.023015873015873017,0.14285714285714285,3.4347529927196276e-06,1.0
US_10Y_Bond,0.0,0.0,0.0,2.2283067503384632e-20,0.0
Dollar_Index,0.0,0.0,0.0,2.2283067503384632e-20,0.0
CSI300,0.0,0.0,0.0,2.2283067503384632e-20,0.0
MOEX_Russia,0.05555555555555555,0.0,0.09999999999999999,1.4282962095716895e-06,1.0
GBP_TRY,0.08333333333333333,0.0,0.08333333333333333,1.5312807389055578e-09,1.0
SAR_TRY,0.08333333333333333,0.0,0.08333333333333333,1.5312807389055578e-09,1.0
RUB_TRY,0.0,0.0,0.0,2.2283067503384632e-20,0.0
