Asset_1,Asset_2,Correlation,Abs_Correlation
BIST100,BIST30,0.9917947850123787,0.9917947850123787
SP500,Dow_Jones,0.9545385453052609,0.9545385453052609
USD_TRY,SAR_TRY,0.9502394429460004,0.9502394429460004
SP500,NASDAQ,0.9463438753226233,0.9463438753226233
BIST_Banks,AKBNK,0.942901333531293,0.942901333531293
BIST100,BIST_Industrials,0.9203506128332567,0.9203506128332567
BIST_Banks,GARAN,0.9186686393262429,0.9186686393262429
EUR_TRY,GBP_TRY,0.9108049297277102,0.9108049297277102
BIST_Banks,ISCTR,0.9027828685572513,0.9027828685572513
USD_TRY,EUR_TRY,0.8994746954337696,0.8994746954337696
BIST30,BIST_Industrials,0.8920329972103852,0.8920329972103852
USD_TRY,GBP_TRY,0.8766435721720901,0.8766435721720901
GARAN,AKBNK,0.8655090498500866,0.8655090498500866
EUR_TRY,SAR_TRY,0.8637251450307168,0.8637251450307168
BIST30,BIST_Banks,0.8488154109013104,0.8488154109013104
GBP_TRY,SAR_TRY,0.8378760983908724,0.8378760983908724
NASDAQ,Dow_Jones,0.8376718113700053,0.8376718113700053
BIST100,BIST_Banks,0.8324129005696209,0.8324129005696209
DAX,FTSE100,0.8230579712866835,0.8230579712866835
AKBNK,ISCTR,0.8216633268325425,0.8216633268325425
BIST30,SAHOL,0.7999281771886505,0.7999281771886505
GARAN,ISCTR,0.7947277326032673,0.7947277326032673
BIST30,AKBNK,0.7891332950023499,0.7891332950023499
BIST100,SAHOL,0.7881346876211202,0.7881346876211202
Gold,Silver,0.7811446164643514,0.7811446164643514
BIST100,AKBNK,0.7715682271817541,0.7715682271817541
BIST30,KCHOL,0.7706799348384784,0.7706799348384784
BIST30,ISCTR,0.7665358345130452,0.7665358345130452
BIST100,KCHOL,0.759157287267838,0.759157287267838
BIST100,ISCTR,0.7537665642031937,0.7537665642031937
BIST30,GARAN,0.7473021105659984,0.7473021105659984
BIST100,GARAN,0.7319558754813664,0.7319558754813664
BIST_Banks,SAHOL,0.728734360057466,0.728734360057466
SP500,VIX,-0.716975483362134,0.716975483362134
AKBNK,SAHOL,0.7122205896929139,0.7122205896929139
BIST30,THYAO,0.7121243729720353,0.7121243729720353
BIST100,THYAO,0.7113503946672906,0.7113503946672906
KCHOL,SAHOL,0.7108958134685368,0.7108958134685368
