,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,Clustering_Coefficient
Gold,0.16666666666666666,0.015151515151515152,0.16666666666666666,1.4368523871420963e-06,0.0
Silver,0.08333333333333333,0.0,0.1111111111111111,1.016008066518933e-06,0.0
Brent_Oil,0.08333333333333333,0.0,0.08333333333333333,8.53545758843543e-08,0.0
WTI_Oil,0.08333333333333333,0.0,0.08333333333333333,8.53545758843543e-08,0.0
SP500,0.41666666666666663,0.0,0.4166666666666667,0.40824829046301425,1.0
NASDAQ,0.41666666666666663,0.0,0.4166666666666667,0.40824829046301425,1.0
Dow_Jones,0.41666666666666663,0.0,0.4166666666666667,0.40824829046301425,1.0
DAX,0.41666666666666663,0.0,0.4166666666666667,0.40824829046301425,1.0
FTSE100,0.41666666666666663,0.0,0.4166666666666667,0.40824829046301425,1.0
USD_TRY,0.08333333333333333,0.0,0.08333333333333333,8.53545758843543e-08,0.0
EUR_TRY,0.08333333333333333,0.0,0.08333333333333333,8.53545758843543e-08,0.0
VIX,0.41666666666666663,0.15151515151515152,0.4166666666666667,0.40824829046301425,1.0
Dollar_Index,0.08333333333333333,0.0,0.1111111111111111,1.016008066518933e-06,0.0
