,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,Clustering_Coefficient
Gold,0.11764705882352941,0.007352941176470588,0.11764705882352941,3.5709824753360356e-06,0.0
Silver,0.058823529411764705,0.0,0.0784313725490196,2.525065923711699e-06,0.0
Brent_Oil,0.058823529411764705,0.0,0.058823529411764705,2.560637276502963e-07,0.0
WTI_Oil,0.058823529411764705,0.0,0.058823529411764705,2.560637276502963e-07,0.0
Natural_Gas,0.0,0.0,0.0,3.125777925418656e-11,0.0
SP500,0.29411764705882354,0.0,0.29411764705882354,0.4082482904586035,1.0
NASDAQ,0.29411764705882354,0.0,0.29411764705882354,0.4082482904586035,1.0
Dow_Jones,0.29411764705882354,0.0,0.29411764705882354,0.4082482904586035,1.0
DAX,0.29411764705882354,0.0,0.29411764705882354,0.4082482904586035,1.0
FTSE100,0.29411764705882354,0.0,0.29411764705882354,0.4082482904586035,1.0
Nikkei225,0.0,0.0,0.0,3.125777925418656e-11,0.0
BIST100,0.0,0.0,0.0,3.125777925418656e-11,0.0
USD_TRY,0.058823529411764705,0.0,0.058823529411764705,2.560637276502963e-07,0.0
EUR_TRY,0.058823529411764705,0.0,0.058823529411764705,2.560637276502963e-07,0.0
Bitcoin,0.0,0.0,0.0,3.125777925418656e-11,0.0
VIX,0.29411764705882354,0.07352941176470588,0.29411764705882354,0.4082482904586035,1.0
US_10Y_Bond,0.0,0.0,0.0,3.125777925418656e-11,0.0
Dollar_Index,0.058823529411764705,0.0,0.0784313725490196,2.525065923711699e-06,0.0
